image,output,timestamp
"{""background"": "".gradio/flagged/image/6b52b30188f7f9e9b86a/background.png"", ""layers"": ["".gradio/flagged/image/38753a813e3a2e706bbe/layer_0.png""], ""composite"": "".gradio/flagged/image/936c922e6fd9c7721bc1/composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-06 14:37:37.118159
"{""background"": "".gradio/flagged/image/c473d2e08996b7be0996/background.png"", ""layers"": ["".gradio/flagged/image/5567a12765c2f6b08fec/layer_0.png""], ""composite"": "".gradio/flagged/image/c88df72a87f292ccf4ba/composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-10-06 14:37:42.095942
